eid,etid,lid,ino,name,cat,desc,datasheet
232,232,#N/A,1,74LS36,74 LS Series Logic ,QUAD 2-INPUT NOR GATE (DIFFERENT¾PINOUT¾THAN 7402),
233,233,#N/A,1,74LS37,74 LS Series Logic ,QUAD 2-INPUT NAND BUFFER,
234,234,18,1,74LS38,74 LS Series Logic ,QUAD 2-INPUT NAND BUFFER WITH OPEN COLLECTOR OUTPUTS,
235,235,#N/A,1,74LS39,74 LS Series Logic ,"QUAD 2-INPUT NAND BUFFER WITH OPEN COLLECTOR OUTPUTS, INPUT AND OUTPUT TERMINALS FLIPPED, OTHERWISE FUNCTIONALLY IDENTICAL TO 7438",
236,236,#N/A,1,74LS40,74 LS Series Logic ,DUAL 4-INPUT NAND BUFFER,
237,237,#N/A,1,74LS41,74 LS Series Logic ,BCD¾TO DECIMAL¾DECODER/NIXIE TUBE¾DRIVER,
238,238,16,1,74LS42,74 LS Series Logic ,BCD TO DECIMAL DECODER,
239,239,#N/A,1,74LS43,74 LS Series Logic ,EXCESS-3¾TO DECIMAL DECODER,
240,240,#N/A,1,74LS44,74 LS Series Logic ,EXCESS-3-GRAY CODE¾TO DECIMAL DECODER,
241,241,#N/A,1,74LS45,74 LS Series Logic ,BCD TO DECIMAL DECODER/DRIVER,
242,242,#N/A,1,74LS46,74 LS Series Logic ,BCD TO¾7-SEGMENT DISPLAY¾DECODER/DRIVER WITH 30¾V OPEN COLLECTOR OUTPUTS,
243,243,#N/A,1,74LS47,74 LS Series Logic ,BCD TO 7-SEGMENT DECODER/DRIVER WITH 15¾V OPEN COLLECTOR OUTPUTS,
244,244,#N/A,1,74LS48,74 LS Series Logic ,BCD TO 7-SEGMENT DECODER/DRIVER WITH INTERNAL PULLUPS,
245,245,#N/A,1,74LS49,74 LS Series Logic ,BCD TO 7-SEGMENT DECODER/DRIVER WITH OPEN COLLECTOR OUTPUTS,
246,246,#N/A,1,74LS50,74 LS Series Logic ,DUAL 2-WIDE 2-INPUT AND-OR-INVERT GATE (ONE GATE EXPANDABLE),
247,247,18,1,74LS51,74 LS Series Logic ,DUAL 2-WIDE 2-INPUT AND-OR-INVERT GATE,
248,248,#N/A,1,74LS52,74 LS Series Logic ,EXPANDABLE 4-WIDE 2-INPUT AND-OR GATE,
249,249,#N/A,1,74LS53,74 LS Series Logic ,EXPANDABLE 4-WIDE 2-INPUT AND-OR-INVERT GATE,
250,250,18,1,74LS54,74 LS Series Logic ,3-2-2-3-INPUT AND-OR-INVERT GATE,
251,251,#N/A,1,74LS55,74 LS Series Logic ,2-WIDE 4-INPUT AND-OR-INVERT GATE (74H VERSION IS EXPANDABLE),
252,252,#N/A,1,74LS56,74 LS Series Logic ,50:1¾FREQUENCY DIVIDER,
253,253,#N/A,1,74LS57,74 LS Series Logic ,60:1 FREQUENCY DIVIDER,
254,254,#N/A,1,74LS58,74 LS Series Logic ,2-INPUT & 3-INPUT AND-OR GATE,
255,255,#N/A,1,74LS59,74 LS Series Logic ,2-INPUT & 3-INPUT AND-OR-INVERT GATE,
256,256,18,1,74LS60,74 LS Series Logic ,DUAL 4-INPUT EXPANDER,
257,257,#N/A,1,74LS61,74 LS Series Logic ,TRIPLE 3-INPUT EXPANDER,
258,258,#N/A,1,74LS62,74 LS Series Logic ,3-2-2-3-INPUT AND-OR EXPANDER,
259,259,#N/A,1,74LS63,74 LS Series Logic ,HEX CURRENT SENSING INTERFACE GATES,
260,260,#N/A,1,74LS64,74 LS Series Logic ,4-2-3-2-INPUT AND-OR-INVERT GATE,
261,261,#N/A,1,74LS65,74 LS Series Logic ,4-2-3-2 INPUT AND-OR-INVERT GATE WITH OPEN COLLECTOR OUTPUT,
262,262,#N/A,1,74LS68,74 LS Series Logic ,DUAL 4-BIT DECADE COUNTERS,
263,263,#N/A,1,74LS69,74 LS Series Logic ,DUAL 4-BIT BINARY COUNTERS,
264,264,#N/A,1,74LS70,74 LS Series Logic ,AND-GATED POSITIVE EDGE TRIGGERED J-K¾FLIP-FLOP¾WITH PRESET AND CLEAR,
265,265,#N/A,1,74LSH71,74 LS Series Logic ,AND-OR-GATED J-K MASTER-SLAVE FLIP-FLOP WITH PRESET,
266,266,#N/A,1,74LSL71,74 LS Series Logic ,AND-GATED R-S MASTER-SLAVE FLIP-FLOP WITH PRESET AND CLEAR,
267,267,#N/A,1,74LS72,74 LS Series Logic ,AND GATED J-K MASTER-SLAVE FLIP-FLOP WITH PRESET AND CLEAR,
268,268,#N/A,1,74LS73,74 LS Series Logic ,DUAL J-K FLIP-FLOP WITH CLEAR,
269,269,16,1,74LS74,74 LS Series Logic ,DUAL D POSITIVE EDGE TRIGGERED FLIP-FLOP WITH PRESET AND CLEAR,
270,270,#N/A,1,74LS75,74 LS Series Logic ,4-BIT BISTABLE¾LATCH,
271,271,18,1,74LS76,74 LS Series Logic ,DUAL J-K FLIP-FLOP WITH PRESET AND CLEAR,
272,272,#N/A,1,74LS77,74 LS Series Logic ,4-BIT BISTABLE LATCH,
273,273,#N/A,1,74LSH78,74 LS Series Logic ,"DUAL POSITIVE PULSE TRIGGERED J-K FLIP-FLOP WITH PRESET, COMMON CLOCK, AND COMMON CLEAR",
274,274,#N/A,1,74LSL78,74 LS Series Logic ,"DUAL POSITIVE PULSE TRIGGERED J-K FLIP-FLOP WITH PRESET, COMMON CLOCK, AND COMMON CLEAR",
275,275,#N/A,1,74LSLS78,74 LS Series Logic ,"DUAL NEGATIVE EDGE TRIGGERED J-K FLIP-FLOP WITH PRESET, COMMON CLOCK, AND COMMON CLEAR",
276,276,#N/A,1,74LS79,74 LS Series Logic ,DUAL D FLIP-FLOP,
277,277,#N/A,1,74LS1G79,74 LS Series Logic ,SINGLE D-TYPE FLIP-FLOP POSITIVE EDGE TRIGGER NON-INVERTING OUTPUT,
278,278,#N/A,1,74LS80,74 LS Series Logic ,GATED¾FULL ADDER,
279,279,#N/A,1,74LS1G80,74 LS Series Logic ,SINGLE D-TYPE FLIP-FLOP POSITIVE EDGE TRIGGER INVERTING OUTPUT,
280,280,#N/A,1,74LS81,74 LS Series Logic ,16-BIT¾RANDOM ACCESS MEMORY,
281,281,#N/A,1,74LS82,74 LS Series Logic ,2-BIT BINARY FULL ADDER,
282,282,18,1,74LS83,74 LS Series Logic ,4-BIT BINARY FULL ADDER,
283,283,#N/A,1,74LS84,74 LS Series Logic ,16-BIT¾RANDOM ACCESS MEMORY,
284,284,16,1,74LS85,74 LS Series Logic ,4-BIT¾MAGNITUDE COMPARATOR,
285,285,16,1,74LS86,74 LS Series Logic ,QUAD 2-INPUT¾XOR GATE,
286,286,#N/A,1,74LS1G86,74 LS Series Logic ,SINGLE 2-INPUT EXCLUSIVE-OR GATE,
287,287,#N/A,1,74LS87,74 LS Series Logic ,4-BIT TRUE/COMPLEMENT/ZERO/ONE ELEMENT,
288,288,#N/A,1,74LS88,74 LS Series Logic ,256-BIT¾READ-ONLY MEMORY,
289,289,#N/A,1,74LS89,74 LS Series Logic ,64-BIT RANDOM ACCESS MEMORY,
290,290,16,1,74LS90,74 LS Series Logic ,DECADE COUNTER¾(SEPARATE DIVIDE-BY-2 AND DIVIDE-BY-5 SECTIONS),
291,291,#N/A,1,74LS91,74 LS Series Logic ,"8-BIT¾SHIFT REGISTER, SERIAL IN, SERIAL OUT, GATED INPUT",
292,292,#N/A,1,74LS92,74 LS Series Logic ,DIVIDE-BY-12 COUNTER (SEPARATE DIVIDE-BY-2 AND DIVIDE-BY-6 SECTIONS),
293,293,16,1,74LS93,74 LS Series Logic ,4-BIT BINARY COUNTER (SEPARATE DIVIDE-BY-2 AND DIVIDE-BY-8 SECTIONS),
294,294,#N/A,1,74LS94,74 LS Series Logic ,"4-BIT SHIFT REGISTER, DUAL ASYNCHRONOUS PRESETS",
295,295,#N/A,1,74LS95,74 LS Series Logic ,"4-BIT SHIFT REGISTER, PARALLEL IN, PARALLEL OUT, SERIAL INPUT",
296,296,#N/A,1,74LS96,74 LS Series Logic ,"5-BIT PARALLEL-IN/PARALLEL-OUT SHIFT REGISTER, ASYNCHRONOUS PRESET",
297,297,#N/A,1,74LS97,74 LS Series Logic ,SYNCHRONOUS 6-BIT BINARY RATE MULTIPLIER,
298,298,#N/A,1,74LS1G97,74 LS Series Logic ,CONFIGURABLE MULTIPLE-FUNCTION GATE,
299,299,#N/A,1,74LS98,74 LS Series Logic ,4-BIT DATA SELECTOR/STORAGE REGISTER,
300,300,#N/A,1,74LS99,74 LS Series Logic ,4-BIT BIDIRECTIONAL UNIVERSAL SHIFT REGISTER,
301,301,#N/A,1,74LS100,74 LS Series Logic ,DUAL 4-BIT BISTABLE LATCH,
302,302,#N/A,1,74LS101,74 LS Series Logic ,AND-OR-GATED J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH PRESET,
303,303,#N/A,1,74LS102,74 LS Series Logic ,AND-GATED J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH PRESET AND CLEAR,
304,304,#N/A,1,74LS103,74 LS Series Logic ,DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH CLEAR,
305,305,#N/A,1,74LS104,74 LS Series Logic ,J-K MASTER-SLAVE FLIP-FLOP,
306,306,#N/A,1,74LS105,74 LS Series Logic ,J-K MASTER-SLAVE FLIP-FLOP,
307,307,#N/A,1,74LS106,74 LS Series Logic ,DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH PRESET AND CLEAR,
308,308,18,1,74LS107,74 LS Series Logic ,DUAL J-K FLIP-FLOP WITH CLEAR,
309,309,#N/A,1,74LS107a,74 LS Series Logic ,DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH CLEAR,
310,310,#N/A,1,74LS108,74 LS Series Logic ,"DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH PRESET, COMMON CLEAR, AND COMMON CLOCK",
311,311,17,1,74LS109,74 LS Series Logic ,DUAL J-NOT-K POSITIVE-EDGE-TRIGGERED FLIP-FLOP WITH CLEAR AND PRESET,
312,312,#N/A,1,74LS110,74 LS Series Logic ,AND-GATED J-K MASTER-SLAVE FLIP-FLOP WITH DATA LOCKOUT,
313,313,#N/A,1,74LS111,74 LS Series Logic ,DUAL J-K MASTER-SLAVE FLIP-FLOP WITH DATA LOCKOUT,
314,314,17,1,74LS112,74 LS Series Logic ,DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH CLEAR AND PRESET,
315,315,#N/A,1,74LS113,74 LS Series Logic ,DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH PRESET,
316,316,#N/A,1,74LS114,74 LS Series Logic ,"DUAL J-K NEGATIVE-EDGE-TRIGGERED FLIP-FLOP WITH PRESET, COMMON CLOCK AND CLEAR",
317,317,#N/A,1,74LS116,74 LS Series Logic ,DUAL 4-BIT LATCH WITH CLEAR,
318,318,#N/A,1,74LS118,74 LS Series Logic ,HEX SET/RESET LATCH,
319,319,#N/A,1,74LS119,74 LS Series Logic ,HEX SET/RESET LATCH,
320,320,#N/A,1,74LS120,74 LS Series Logic ,DUAL PULSE SYNCHRONIZER/DRIVERS,
321,321,#N/A,1,74LS121,74 LS Series Logic ,MONOSTABLE¾MULTIVIBRATOR,
322,322,#N/A,1,74LS122,74 LS Series Logic ,RETRIGGERABLE MONOSTABLE MULTIVIBRATOR WITH CLEAR,
323,323,17,1,74LS123,74 LS Series Logic ,DUAL RETRIGGERABLE MONOSTABLE MULTIVIBRATOR WITH CLEAR,
324,324,#N/A,1,74LS1G123,74 LS Series Logic ,SINGLE RETRIGGERABLE MONOSTABLE MULTIVIBRATOR WITH CLEAR,
325,325,18,1,74LS124,74 LS Series Logic ,DUAL¾VOLTAGE-CONTROLLED OSCILLATOR,
326,326,18,1,74LS125,74 LS Series Logic ,"QUAD BUS BUFFER WITH¾THREE-STATE¾OUTPUTS, NEGATIVE ENABLE",
327,327,#N/A,1,74LS1G125,74 LS Series Logic ,"BUFFER/LINE DRIVER, THREE-STATE OUTPUT WITH ACTIVE LOW OUTPUT ENABLE",
328,328,#N/A,1,74LS126,74 LS Series Logic ,"QUAD BUS BUFFER WITH THREE-STATE OUTPUTS, POSITIVE ENABLE",
329,329,#N/A,1,74LS1G126,74 LS Series Logic ,"BUFFER/LINE DRIVER, THREE-STATE OUTPUT WITH ACTIVE HIGH OUTPUT ENABLE",
330,330,#N/A,1,74LS128,74 LS Series Logic ,QUAD 2-INPUT NOR LINE DRIVER,
331,331,#N/A,1,74LS130,74 LS Series Logic ,QUAD 2-INPUT AND GATE BUFFER WITH 30¾V OPEN COLLECTOR OUTPUTS,
332,332,#N/A,1,74LS131,74 LS Series Logic ,QUAD 2-INPUT AND GATE BUFFER WITH 15¾V OPEN COLLECTOR OUTPUTS,
333,333,18,1,74LS132,74 LS Series Logic ,QUAD 2-INPUT NAND SCHMITT TRIGGER,
334,334,#N/A,1,74LS133,74 LS Series Logic ,13-INPUT NAND GATE,
335,335,#N/A,1,74LS134,74 LS Series Logic ,12-INPUT NAND GATE WITH THREE-STATE OUTPUT,
336,336,#N/A,1,74LS135,74 LS Series Logic ,QUAD EXCLUSIVE-OR/NOR GATE,
337,337,#N/A,1,74LS136,74 LS Series Logic ,QUAD 2-INPUT¾XOR GATE¾WITH OPEN COLLECTOR OUTPUTS,
338,338,#N/A,1,74LS137,74 LS Series Logic ,3 TO 8-LINE DECODER/DEMULTIPLEXER¾WITH ADDRESS LATCH,
339,339,17,1,74LS138,74 LS Series Logic ,3 TO 8-LINE DECODER/DEMULTIPLEXER,
340,340,17,1,74LS139,74 LS Series Logic ,DUAL 2 TO 4-LINE DECODER/DEMULTIPLEXER,
341,341,#N/A,1,74LS140,74 LS Series Logic ,DUAL 4-INPUT NAND LINE DRIVER,
342,342,#N/A,1,74LS141,74 LS Series Logic ,BCD TO DECIMAL DECODER/DRIVER FOR¾COLD-CATHODE¾INDICATOR/NIXIE TUBE,
343,343,#N/A,1,74LS142,74 LS Series Logic ,DECADE COUNTER/LATCH/DECODER/DRIVER FOR NIXIE TUBES,
344,344,#N/A,1,74LS143,74 LS Series Logic ,"DECADE COUNTER/LATCH/DECODER/7-SEGMENT DRIVER, 15¾MA CONSTANT CURRENT",
345,345,#N/A,1,74LS144,74 LS Series Logic ,"DECADE COUNTER/LATCH/DECODER/7-SEGMENT DRIVER, 15¾V OPEN COLLECTOR OUTPUTS",
346,346,#N/A,1,74LS145,74 LS Series Logic ,BCD TO DECIMAL DECODER/DRIVER,
347,347,#N/A,1,74LS147,74 LS Series Logic ,10-LINE TO 4-LINE PRIORITY ENCODER,
348,348,#N/A,1,74LS148,74 LS Series Logic ,8-LINE TO 3-LINE PRIORITY ENCODER,
349,349,#N/A,1,74LS150,74 LS Series Logic ,16-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER,
350,350,#N/A,1,74LS151,74 LS Series Logic ,8-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER,
351,351,#N/A,1,74LS152,74 LS Series Logic ,8-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER,
352,352,#N/A,1,74LS153,74 LS Series Logic ,DUAL 4-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER,
353,353,#N/A,1,74LS154,74 LS Series Logic ,4-LINE TO 16-LINE DECODER/DEMULTIPLEXER,
354,354,#N/A,1,74LS155,74 LS Series Logic ,DUAL 2-LINE TO 4-LINE DECODER/DEMULTIPLEXER,
355,355,#N/A,1,74LS156,74 LS Series Logic ,DUAL 2-LINE TO 4-LINE DECODER/DEMULTIPLEXER WITH OPEN COLLECTOR OUTPUTS,
356,356,18,1,74LS157,74 LS Series Logic ,"QUAD 2-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER, NONINVERTING",
357,357,#N/A,1,74LS158,74 LS Series Logic ,"QUAD 2-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER, INVERTING",
358,358,#N/A,1,74LS159,74 LS Series Logic ,4-LINE TO 16-LINE DECODER/DEMULTIPLEXER WITH OPEN COLLECTOR OUTPUTS,
359,359,#N/A,1,74LS160,74 LS Series Logic ,SYNCHRONOUS 4-BIT DECADE COUNTER WITH ASYNCHRONOUS CLEAR,
360,360,#N/A,1,74LS161,74 LS Series Logic ,SYNCHRONOUS 4-BIT BINARY COUNTER WITH ASYNCHRONOUS CLEAR,
361,361,#N/A,1,74LS162,74 LS Series Logic ,SYNCHRONOUS 4-BIT DECADE COUNTER WITH SYNCHRONOUS CLEAR,
362,362,17,1,74LS163,74 LS Series Logic ,SYNCHRONOUS 4-BIT BINARY COUNTER WITH SYNCHRONOUS CLEAR,
363,363,17,1,74LS164,74 LS Series Logic ,8-BIT PARALLEL-OUT SERIAL SHIFT REGISTER WITH ASYNCHRONOUS CLEAR,
364,364,17,1,74LS165,74 LS Series Logic ,"8-BIT SERIAL SHIFT REGISTER, PARALLEL LOAD, COMPLEMENTARY OUTPUTS",
365,365,18,1,74LS166,74 LS Series Logic ,PARALLEL-LOAD 8-BIT SHIFT REGISTER,
366,366,#N/A,1,74LS167,74 LS Series Logic ,SYNCHRONOUS DECADE RATE MULTIPLIER,
367,367,#N/A,1,74LS168,74 LS Series Logic ,SYNCHRONOUS 4-BIT UP/DOWN DECADE COUNTER,
368,368,#N/A,1,74LS169,74 LS Series Logic ,SYNCHRONOUS 4-BIT UP/DOWN BINARY COUNTER,
369,369,18,1,74LS170,74 LS Series Logic ,4 BY 4 REGISTER FILE WITH OPEN COLLECTOR OUTPUTS,
370,370,#N/A,1,74LS171,74 LS Series Logic ,QUAD D-TYPE FLIP-FLOPS WITH CLEAR,
371,371,#N/A,1,74LS172,74 LS Series Logic ,16-BIT MULTIPLE PORT REGISTER FILE WITH THREE-STATE OUTPUTS,
372,372,#N/A,1,74LS173,74 LS Series Logic ,QUAD D FLIP-FLOP WITH THREE-STATE OUTPUTS,
373,373,18,1,74LS174,74 LS Series Logic ,HEX D FLIP-FLOP WITH COMMON CLEAR,
374,374,18,1,74LS175,74 LS Series Logic ,QUAD D EDGE-TRIGGERED FLIP-FLOP WITH COMPLEMENTARY OUTPUTS AND ASYNCHRONOUS CLEAR,
375,375,#N/A,1,74LS176,74 LS Series Logic ,PRESETTABLE DECADE (BI-QUINARY) COUNTER/LATCH,
376,376,#N/A,1,74LS177,74 LS Series Logic ,PRESETTABLE BINARY COUNTER/LATCH,
377,377,#N/A,1,74LS178,74 LS Series Logic ,4-BIT PARALLEL-ACCESS SHIFT REGISTER,
378,378,#N/A,1,74LS179,74 LS Series Logic ,4-BIT PARALLEL-ACCESS SHIFT REGISTER WITH ASYNCHRONOUS CLEAR AND COMPLEMENTARY QD¾OUTPUTS,
379,379,#N/A,1,74LS180,74 LS Series Logic ,9-BIT ODD/EVEN¾PARITY BIT¾GENERATOR AND CHECKER,
380,380,17,1,74LS181,74 LS Series Logic ,4-BIT ARITHMETIC LOGIC UNIT AND FUNCTION GENERATOR,
381,381,18,1,74LS182,74 LS Series Logic ,LOOKAHEAD CARRY GENERATOR,
382,382,#N/A,1,74LS183,74 LS Series Logic ,DUAL CARRY-SAVE¾FULL ADDER,
383,383,#N/A,1,74LS184,74 LS Series Logic ,BCD TO BINARY CONVERTER,
384,384,#N/A,1,74LS185,74 LS Series Logic ,6-BIT BINARY TO BCD CONVERTER,
385,385,#N/A,1,74LS186,74 LS Series Logic ,512-BIT (64X8)¾READ-ONLY MEMORY¾WITH OPEN COLLECTOR OUTPUTS,
386,386,#N/A,1,74LS187,74 LS Series Logic ,1024-BIT (256X4) READ ONLY MEMORY WITH OPEN COLLECTOR OUTPUTS,
387,387,#N/A,1,74LS188,74 LS Series Logic ,256-BIT (32X8)¾PROGRAMMABLE READ-ONLY MEMORY¾WITH OPEN COLLECTOR OUTPUTS,
388,388,17,1,74LS189,74 LS Series Logic ,64-BIT (16X4) RAM WITH INVERTING THREE-STATE OUTPUTS,
389,389,#N/A,1,74LS190,74 LS Series Logic ,SYNCHRONOUS UP/DOWN DECADE COUNTER,
390,390,17,1,74LS191,74 LS Series Logic ,SYNCHRONOUS UP/DOWN BINARY COUNTER,
391,391,#N/A,1,74LS192,74 LS Series Logic ,SYNCHRONOUS UP/DOWN DECADE COUNTER WITH CLEAR,
392,392,17,1,74LS193,74 LS Series Logic ,SYNCHRONOUS UP/DOWN 4-BIT BINARY COUNTER WITH CLEAR,
393,393,17,1,74LS194,74 LS Series Logic ,4-BIT BIDIRECTIONAL UNIVERSAL SHIFT REGISTER,
394,394,#N/A,1,74LS195,74 LS Series Logic ,4-BIT PARALLEL-ACCESS SHIFT REGISTER,
395,395,#N/A,1,74LS196,74 LS Series Logic ,PRESETTABLE DECADE COUNTER/LATCH,
396,396,#N/A,1,74LS197,74 LS Series Logic ,PRESETTABLE BINARY COUNTER/LATCH,
397,397,#N/A,1,74LS198,74 LS Series Logic ,8-BIT BIDIRECTIONAL UNIVERSAL SHIFT REGISTER,
398,398,#N/A,1,74LS199,74 LS Series Logic ,8-BIT BIDIRECTIONAL UNIVERSAL SHIFT REGISTER WITH J-NOT-K SERIAL INPUTS,
399,399,#N/A,1,74LS200,74 LS Series Logic ,256-BIT RAM WITH THREE-STATE OUTPUTS,
400,400,#N/A,1,74LS201,74 LS Series Logic ,256-BIT (256X1) RAM WITH THREE-STATE OUTPUTS,
401,401,#N/A,1,74LS206,74 LS Series Logic ,256-BIT RAM WITH OPEN COLLECTOR OUTPUTS,
402,402,#N/A,1,74LS209,74 LS Series Logic ,1024-BIT (1024X1) RAM WITH THREE-STATE OUTPUT,
403,403,#N/A,1,74LS210,74 LS Series Logic ,OCTAL BUFFER,
404,404,#N/A,1,74LS219,74 LS Series Logic ,64-BIT (16X4) RAM WITH NONINVERTING THREE-STATE OUTPUTS,
405,405,17,1,74LS221,74 LS Series Logic ,DUAL MONOSTABLE MULTIVIBRATOR WITH SCHMITT TRIGGER INPUT,
406,406,#N/A,1,74LS222,74 LS Series Logic ,16 BY 4 SYNCHRONOUS¾FIFO¾MEMORY WITH THREE-STATE OUTPUTS,
407,407,#N/A,1,74LS224,74 LS Series Logic ,16 BY 4 SYNCHRONOUS FIFO MEMORY WITH THREE-STATE OUTPUTS,
408,408,#N/A,1,74LS225,74 LS Series Logic ,ASYNCHRONOUS 16X5 FIFO MEMORY,
409,409,#N/A,1,74LS226,74 LS Series Logic ,4-BIT PARALLEL LATCHED BUS TRANSCEIVER WITH THREE-STATE OUTPUTS,
410,410,#N/A,1,74LS227,74 LS Series Logic ,64-BIT FIFO MEMORIES 16X4,
411,411,#N/A,1,74LS228,74 LS Series Logic ,64-BIT FIFO MEMORIES 16X4 OPEN-COLLECTOR OUTPUTS,
412,412,#N/A,1,74LS230,74 LS Series Logic ,"OCTAL BUFFER/DRIVER WITH THREE-STATE OUTPUTS, TRUE AND COMPLEMENTARY INPUTS",
413,413,#N/A,1,74LS231,74 LS Series Logic ,"OCTAL BUFFER AND LINE DRIVER WITH THREE-STATE OUTPUTS, G AND /G COMPLEMENTARY INPUTS",
414,414,#N/A,1,74LS232,74 LS Series Logic ,QUAD NOR SCHMITT TRIGGER,
415,415,#N/A,1,74LS237,74 LS Series Logic ,"3-OF-8 DECODER/DEMULTIPLEXER WITH ADDRESS LATCH, ACTIVE HIGH OUTPUTS",
416,416,#N/A,1,74LS238,74 LS Series Logic ,"3-OF-8 DECODER/DEMULTIPLEXER, ACTIVE HIGH OUTPUTS",
417,417,#N/A,1,74LS239,74 LS Series Logic ,"DUAL 2-OF-4 DECODER/DEMULTIPLEXER, ACTIVE HIGH OUTPUTS",
418,418,17,1,74LS240,74 LS Series Logic ,OCTAL BUFFER WITH INVERTED THREE-STATE OUTPUTS,
419,419,#N/A,1,74LS241,74 LS Series Logic ,OCTAL BUFFER WITH NONINVERTED THREE-STATE OUTPUTS,
420,420,#N/A,1,74LS242,74 LS Series Logic ,QUAD BUS TRANSCEIVER WITH INVERTED THREE-STATE OUTPUTS,
421,421,#N/A,1,74LS243,74 LS Series Logic ,QUAD BUS TRANSCEIVER WITH NONINVERTED THREE-STATE OUTPUTS,
422,422,17,1,74LS244,74 LS Series Logic ,OCTAL BUFFER WITH NONINVERTED THREE-STATE OUTPUTS,
423,423,17,1,74LS245,74 LS Series Logic ,OCTAL BUS TRANSCEIVER WITH NONINVERTED THREE-STATE OUTPUTS,
424,424,#N/A,1,74LS246,74 LS Series Logic ,BCD TO 7-SEGMENT DECODER/DRIVER WITH 30¾V OPEN COLLECTOR OUTPUTS,
425,425,#N/A,1,74LS247,74 LS Series Logic ,BCD TO 7-SEGMENT DECODER/DRIVER WITH 15¾V OPEN COLLECTOR OUTPUTS,
426,426,#N/A,1,74LS248,74 LS Series Logic ,BCD TO 7-SEGMENT DECODER/DRIVER WITH INTERNAL PULL-UP OUTPUTS,
427,427,#N/A,1,74LS249,74 LS Series Logic ,BCD TO 7-SEGMENT DECODER/DRIVER WITH OPEN COLLECTOR OUTPUTS,
428,428,#N/A,1,74LS250,74 LS Series Logic ,1 OF 16 DATA SELECTORS/MULTIPLEXERS,
429,429,17,1,74LS251,74 LS Series Logic ,8-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER WITH COMPLEMENTARY THREE-STATE OUTPUTS,
430,430,18,1,74LS253,74 LS Series Logic ,DUAL 4-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER WITH THREE-STATE OUTPUTS,
431,431,#N/A,1,74LS255,74 LS Series Logic ,DUAL 4-BIT ADDRESSABLE LATCH,
432,432,#N/A,1,74LS256,74 LS Series Logic ,DUAL 4-BIT ADDRESSABLE LATCH,
433,433,17,1,74LS257,74 LS Series Logic ,QUAD 2-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER WITH NONINVERTED THREE-STATE OUTPUTS,
434,434,#N/A,1,74LS258,74 LS Series Logic ,QUAD 2-LINE TO 1-LINE DATA SELECTOR/MULTIPLEXER WITH INVERTED THREE-STATE OUTPUTS,
435,435,18,1,74LS259,74 LS Series Logic ,8-BIT ADDRESSABLE LATCH,
436,436,#N/A,1,74LS260,74 LS Series Logic ,DUAL 5-INPUT NOR GATE,
437,437,#N/A,1,74LS261,74 LS Series Logic ,2-BIT BY 4-BIT PARALLEL BINARY MULTIPLIER,
438,438,#N/A,1,74LS264,74 LS Series Logic ,LOOK AHEAD CARRY GENERATOR,
439,439,#N/A,1,74LS265,74 LS Series Logic ,QUAD COMPLEMENTARY OUTPUT ELEMENTS,
440,440,#N/A,1,74LS266,74 LS Series Logic ,QUAD 2-INPUT XNOR GATE WITH¾OPEN COLLECTOR¾OUTPUTS,
441,441,#N/A,1,74LS268,74 LS Series Logic ,"HEX D-TYPE LATCHES THREE-STATE OUTPUTS, COMMON OUTPUT CONTROL, COMMON ENABLE",
442,442,#N/A,1,74LS270,74 LS Series Logic ,2048-BIT (512X4) READ ONLY MEMORY WITH OPEN COLLECTOR OUTPUTS,
443,443,#N/A,1,74LS271,74 LS Series Logic ,2048-BIT (256X8) READ ONLY MEMORY WITH OPEN COLLECTOR OUTPUTS,
444,444,17,1,74LS273,74 LS Series Logic ,8-BIT REGISTER WITH RESET,
445,445,#N/A,1,74LS274,74 LS Series Logic ,4-BIT BY 4-BIT BINARY MULTIPLIER,
446,446,#N/A,1,74LS275,74 LS Series Logic ,7-BIT SLICE¾WALLACE TREE,
447,447,#N/A,1,74LS276,74 LS Series Logic ,"QUAD J-NOT-K EDGE-TRIGGERED¾FLIP-FLOPS¾WITH SEPARATE CLOCKS, COMMON PRESET AND CLEAR",
448,448,#N/A,1,74LS278,74 LS Series Logic ,4-BIT CASCADEABLE PRIORITY REGISTERS WITH LATCHED DATA INPUTS,
449,449,#N/A,1,74LS279,74 LS Series Logic ,QUAD SET-RESET LATCH,
